atomic number,element,element name,major isotope,isotope,atomic mass,mass,mass uncertainty,mass source year,mass source,abundance,abundance low,abundance high,abundance uncertainty,abundance kind,abundance source,standard,notes
56,Ba,barium,138Ba,132Ba,132,131.905061231,1.13e-06,2020,AME2020,0.001,,,0.0001,value,CIAAW 2024,CIAAW 2024,
56,Ba,barium,138Ba,134Ba,134,133.904508249,2.69e-07,2020,AME2020,0.0242,,,0.0015,value,CIAAW 2024,CIAAW 2024,
56,Ba,barium,138Ba,135Ba,135,134.905688447,2.63e-07,2020,AME2020,0.0659,,,0.001,value,CIAAW 2024,CIAAW 2024,
56,Ba,barium,138Ba,136Ba,136,135.9045758,2.62e-07,2020,AME2020,0.0785,,,0.0024000000000000002,value,CIAAW 2024,CIAAW 2024,
56,Ba,barium,138Ba,137Ba,137,136.905827207,2.66e-07,2020,AME2020,0.1123,,,0.0023,value,CIAAW 2024,CIAAW 2024,
56,Ba,barium,138Ba,138Ba,138,137.905247059,2.67e-07,2020,AME2020,0.717,,,0.0029000000000000002,value,CIAAW 2024,CIAAW 2024,
57,La,lanthanum,139La,138La,138,137.907124041,4.46e-07,2020,AME2020,0.0008881,,,7.1e-06,value,CIAAW 2024,CIAAW 2024,g
57,La,lanthanum,139La,139La,139,138.906362927,6.51e-07,2020,AME2020,0.9991119,,,7.1e-06,value,CIAAW 2024,CIAAW 2024,
58,Ce,cerium,140Ce,136Ce,136,135.907129256,3.48e-07,2020,AME2020,0.00185,,,2e-05,value,CIAAW 2024,CIAAW 2024,g
58,Ce,cerium,140Ce,138Ce,138,137.90599418,5.36e-07,2020,AME2020,0.00251,,,2e-05,value,CIAAW 2024,CIAAW 2024,
58,Ce,cerium,140Ce,140Ce,140,139.905448433,1.409e-06,2020,AME2020,0.8845,,,0.00051,value,CIAAW 2024,CIAAW 2024,
58,Ce,cerium,140Ce,142Ce,142,141.909250208,2.623e-06,2020,AME2020,0.11114,,,0.00051,value,CIAAW 2024,CIAAW 2024,
59,Pr,praseodymium,141Pr,141Pr,141,140.907659604,1.607e-06,2020,AME2020,1.0,1.0,1.0,0.0,exact,CIAAW 2024,CIAAW 2024,
60,Nd,neodymium,142Nd,142Nd,142,141.907728824,1.348e-06,2020,AME2020,0.27152000000000004,,,0.0004,value,CIAAW 2024,CIAAW 2024,g
